timestamp,run_id,port_ret_gross,port_ret_net,equity_gross,equity_net,turnover,cost,weight_XLE,asset_ret_gross_XLE
2023-06-26 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0081039985228184,-0.0081039985228184,0.9229722814286684,0.9229722814286684,0.0,0.0,1.0,-0.0081039985228184
2023-06-27 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0026568493707562614,0.0026568493707562614,0.9254244797538075,0.9254244797538075,0.0,0.0,0.1492777834847329,0.0026568493707562614
2023-06-28 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0019313014693862485,-0.0019313014693862485,0.923637206096253,0.923637206096253,0.0,0.0,1.0,-0.0019313014693862485
2023-06-29 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.001680750728961676,0.001680750728961676,0.9251896100036953,0.9251896100036953,0.0,0.0,0.1492777834847329,0.001680750728961676
2023-06-30 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.006261079388981017,0.006261079388981017,0.9309822956017888,0.9309822956017888,0.0,0.0,1.0,0.006261079388981017
2023-07-03 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.01748531434101963,0.01748531434101963,0.9472608136863101,0.9472608136863101,0.0,0.0,1.0,0.01748531434101963
2023-07-05 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.005053874302678896,0.005053874302678896,0.9520481507705341,0.9520481507705341,0.0,0.0,1.0,0.005053874302678896
2023-07-06 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.012011354870177904,-0.012011354870177904,0.9406127625781325,0.9406127625781325,0.0,0.0,1.0,-0.012011354870177904
2023-07-07 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0028009289811198987,-0.0028009289811198987,0.9379781730314162,0.9379781730314162,0.0,0.0,0.10612594771778563,-0.0028009289811198987
2023-07-10 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.021007456483167264,0.021007456483167264,0.9576827086835343,0.9576827086835343,0.0,0.0,1.0,0.021007456483167264
2023-07-11 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.001281557944894809,0.001281557944894809,0.9589100345675361,0.9589100345675361,0.0,0.0,0.10612594771778563,0.001281557944894809
2023-07-12 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.017189369424452483,0.017189369424452483,0.975393093396532,0.975393093396532,0.0,0.0,1.0,0.017189369424452483
2023-07-13 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.001244812303238301,0.001244812303238301,0.9766072747196857,0.9766072747196857,0.0,0.0,0.10612594771778563,0.001244812303238301
2023-07-14 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.001815588619602515,-0.001815588619602515,0.9748341576658835,0.9748341576658835,0.0,0.0,1.0,-0.001815588619602515
2023-07-17 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0022272789724759874,-0.0022272789724759874,0.972662930044863,0.972662930044863,0.0,0.0,0.10612594771778563,-0.0022272789724759874
2023-07-18 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.011197131115487036,-0.011197131115487036,0.9617718956859769,0.9617718956859769,0.0,0.0,1.0,-0.011197131115487036
2023-07-19 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.002140617166010053,0.002140617166010053,0.9638306811156684,0.9638306811156684,0.0,0.0,0.10612594771778563,0.002140617166010053
2023-07-20 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.002886004889135041,0.002886004889135041,0.9666123011736666,0.9666123011736666,0.0,0.0,1.0,0.002886004889135041
2023-07-21 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.003400029429461604,0.003400029429461604,0.9698988114445367,0.9698988114445367,0.0,0.0,1.0,0.003400029429461604
2023-07-24 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.012196855496237724,0.012196855496237724,0.9817285270936984,0.9817285270936984,0.0,0.0,1.0,0.012196855496237724
2023-07-25 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0024086739255150245,0.0024086739255150245,0.9840931909988432,0.9840931909988432,0.0,0.0,0.10612594771778563,0.0024086739255150245
2023-07-26 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0007567158893060366,-0.0007567158893060366,0.9833485120446565,0.9833485120446565,0.0,0.0,1.0,-0.0007567158893060366
2023-07-27 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0007567158893060366,0.0007567158893060366,0.9840926274884461,0.9840926274884461,0.0,0.0,1.0,0.0007567158893060366
2023-07-28 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.004026175544400434,0.004026175544400434,0.9880547571586648,0.9880547571586648,0.0,0.0,1.0,0.004026175544400434
2023-07-31 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.001206141950329087,-0.001206141950329087,0.9868630228668335,0.9868630228668335,0.0,0.0,0.10612594771778563,-0.001206141950329087
2023-08-01 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0024514238810448077,0.0024514238810448077,0.9892822424484093,0.9892822424484093,0.0,0.0,0.10612594771778563,0.0024514238810448077
2023-08-02 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.012739025777429802,-0.012739025777429802,0.9766797504607055,0.9766797504607055,0.0,0.0,1.0,-0.012739025777429802
2023-08-03 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0018717531255215527,-0.0018717531255215527,0.974851647085147,0.974851647085147,0.0,0.0,0.19500562452308137,-0.0018717531255215527
2023-08-04 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.021344187560684347,0.021344187560684347,0.9956590634843745,0.9956590634843745,0.0,0.0,1.0,0.021344187560684347
2023-08-07 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0014961524599194686,0.0014961524599194686,0.9971487212414478,0.9971487212414478,0.0,0.0,0.19500562452308137,0.0014961524599194686
2023-08-08 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.009412999896139418,-0.009412999896139418,0.9877625604319665,0.9877625604319665,0.0,0.0,1.0,-0.009412999896139418
2023-08-09 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0017550624674433587,-0.0017550624674433587,0.9860289754354066,0.9860289754354066,0.0,0.0,0.19500562452308137,-0.0017550624674433587
2023-08-10 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.004645514959513223,0.004645514959513223,0.9906095877913053,0.9906095877913053,0.0,0.0,0.19500562452308137,0.004645514959513223
2023-08-11 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0010016209167658123,0.0010016209167658123,0.9916018030747857,0.9916018030747857,0.0,0.0,0.19500562452308137,0.0010016209167658123
2023-08-14 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.002035024378938588,0.002035024378938588,0.9936197369182425,0.9936197369182425,0.0,0.0,0.19500562452308137,0.002035024378938588
2023-08-15 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0007547396921083263,-0.0007547396921083263,0.9928698126639279,0.9928698126639279,0.0,0.0,0.19500562452308137,-0.0007547396921083263
2023-08-16 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.003481058469301625,-0.003481058469301625,0.9894135747936403,0.9894135747936403,0.0,0.0,0.19500562452308137,-0.003481058469301625
2023-08-17 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,4.8107962381141106e-05,4.8107962381141106e-05,0.9894611734646759,0.9894611734646759,0.0,0.0,0.19500562452308137,4.8107962381141106e-05
2023-08-18 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.001294448972434207,0.001294448972434207,0.9907419804639308,0.9907419804639308,0.0,0.0,0.19500562452308137,0.001294448972434207
2023-08-21 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0009796718882975064,0.0009796718882975064,0.9917125825307476,0.9917125825307476,0.0,0.0,1.0,0.0009796718882975064
2023-08-22 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.006877944087655852,-0.006877944087655852,0.9848916388370763,0.9848916388370763,0.0,0.0,1.0,-0.006877944087655852
2023-08-23 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0012316789338826517,0.0012316789338826517,0.9861047091207891,0.9861047091207891,0.0,0.0,1.0,0.0012316789338826517
2023-08-24 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.002901922964151701,-0.002901922964151701,0.9832431092203333,0.9832431092203333,0.0,0.0,0.19500562452308137,-0.002901922964151701
2023-08-25 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0009721138003970486,0.0009721138003970486,0.9841989334159518,0.9841989334159518,0.0,0.0,0.19500562452308137,0.0009721138003970486
2023-08-28 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.00029069166802568727,0.00029069166802568727,0.9844850318455756,0.9844850318455756,0.0,0.0,0.19500562452308137,0.00029069166802568727
2023-08-29 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0013027765544795802,0.0013027765544795802,0.9857675958633,0.9857675958633,0.0,0.0,0.19500562452308137,0.0013027765544795802
2023-08-30 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0004933399212045941,-0.0004933399212045941,0.9852812773552307,0.9852812773552307,0.0,0.0,1.0,-0.0004933399212045941
2023-08-31 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.00982084986409415,0.00982084986409415,0.9949575768540394,0.9949575768540394,0.0,0.0,1.0,0.00982084986409415
2023-09-01 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0014669929281256877,-0.0014669929281256877,0.9934979811250094,0.9934979811250094,0.0,0.0,1.0,-0.0014669929281256877
2023-09-05 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.004181841131748272,0.004181841131748272,0.9976526318467869,0.9976526318467869,0.0,0.0,0.2534261216847699,0.004181841131748272
2023-09-06 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.005132092079380969,0.005132092079380969,1.0027726770166614,1.0027726770166614,0.0,0.0,0.2534261216847699,0.005132092079380969
2023-09-07 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.01138532222512545,-0.01138532222512545,0.991355786970275,0.991355786970275,0.0,0.0,1.0,-0.01138532222512545
2023-09-08 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0012062189439123311,0.0012062189439123311,0.9925515791006757,0.9925515791006757,0.0,0.0,0.2534261216847699,0.0012062189439123311
2023-09-11 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.009922122506316189,0.009922122506316189,1.0023997974623502,1.0023997974623502,0.0,0.0,1.0,0.009922122506316189
2023-09-12 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0034186505714364104,-0.0034186505714364104,0.9989729428219478,0.9989729428219478,0.0,0.0,0.2534261216847699,-0.0034186505714364104
2023-09-13 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0048443990390044465,0.0048443990390044465,1.0038123663861458,1.0038123663861458,0.0,0.0,0.2534261216847699,0.0048443990390044465
2023-09-14 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.007272759329079559,-0.007272759329079559,0.9965118806338655,0.9965118806338655,0.0,0.0,1.0,-0.007272759329079559
2023-09-15 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0030251341548830665,0.0030251341548830665,0.9995264627597178,0.9995264627597178,0.0,0.0,0.2534261216847699,0.0030251341548830665
2023-09-18 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0065359709797854215,-0.0065359709797854215,0.9929935868055927,0.9929935868055927,0.0,0.0,1.0,-0.0065359709797854215
2023-09-19 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0009478313869944735,0.0009478313869944735,0.9939347772942512,0.9939347772942512,0.0,0.0,0.2534261216847699,0.0009478313869944735
2023-09-20 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.01008333083119739,-0.01008333083119739,0.9839126041101607,0.9839126041101607,0.0,0.0,1.0,-0.01008333083119739
2023-09-21 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0007776565955519517,-0.0007776565955519517,0.9831474579841277,0.9831474579841277,0.0,0.0,0.2534261216847699,-0.0007776565955519517
2023-09-22 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.01668691878501427,-0.01668691878501427,0.9667417561990533,0.9667417561990533,0.0,0.0,1.0,-0.01668691878501427
2023-09-25 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.0004878271413618526,-0.0004878271413618526,0.9662701533316916,0.9662701533316916,0.0,0.0,0.2534261216847699,-0.0004878271413618526
2023-09-26 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.008394341173418862,0.008394341173418862,0.9743813546644496,0.9743813546644496,0.0,0.0,1.0,0.008394341173418862
2023-09-27 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0,0.0,0.9743813546644496,0.9743813546644496,0.0,0.0,1.0,0.0
2023-09-28 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.004855858991983246,0.004855858991983246,0.9791128131271177,0.9791128131271177,0.0,0.0,0.2534261216847699,0.004855858991983246
2023-09-29 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,0.0008891113845000399,0.0008891113845000399,0.9799833534759789,0.9799833534759789,0.0,0.0,0.2534261216847699,0.0008891113845000399
2023-10-02 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.006656668396501537,-0.006656668396501537,0.9734599292577977,0.9734599292577977,0.0,0.0,0.3486426886000301,-0.006656668396501537
2023-10-03 00:00:00+00:00,20260201_193427_37b8d48a_StateSignal_XLE,-0.008822613765726565,-0.008822613765726565,0.9648714682855446,0.9648714682855446,0.0,0.0,0.3486426886000301,-0.008822613765726565
